"filename", "language", "Markdown", "Lua", "JSON", "comment", "blank", "total"
"d:\Projects\Lua\LeonCore\LeonCore\.trae\rules\project_rules.md", "Markdown", 4, 0, 0, 0, 0, 4
"d:\Projects\Lua\LeonCore\LeonCore\NEW_COMMANDS_SUGGESTIONS.md", "Markdown", 54, 0, 0, 0, 13, 67
"d:\Projects\Lua\LeonCore\LeonCore\README.md", "Markdown", 6, 0, 0, 0, 1, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\bios.lua", "Lua", 0, 150, 0, 7, 29, 186
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\packages\example-pkg\1.0.0\example.lua", "Lua", 0, 22, 0, 1, 2, 25
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\packages\example-pkg\1.0.0\package.json", "JSON", 0, 0, 11, 0, 0, 11
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\packages\installed.json", "JSON", 0, 0, 3, 0, 0, 3
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\colors.lua", "Lua", 0, 70, 0, 1, 12, 83
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\colours.lua", "Lua", 0, 1, 0, 0, 1, 2
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\disk.lua", "Lua", 0, 27, 0, 1, 8, 36
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\gps.lua", "Lua", 0, 11, 0, 1, 7, 19
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\help.lua", "Lua", 0, 78, 0, 1, 24, 103
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\keys.lua", "Lua", 0, 17, 0, 6, 7, 30
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\lgui.lua", "Lua", 0, 540, 0, 43, 94, 677
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\multishell.lua", "Lua", 0, 20, 0, 1, 11, 32
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\paintutils.lua", "Lua", 0, 130, 0, 1, 28, 159
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\parallel.lua", "Lua", 0, 40, 0, 3, 12, 55
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\rednet.lua", "Lua", 0, 95, 0, 1, 18, 114
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\settings.lua", "Lua", 0, 89, 0, 1, 25, 115
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\shell.lua", "Lua", 0, 254, 0, 3, 78, 335
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\textutils.lua", "Lua", 0, 308, 0, 3, 81, 392
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\vector.lua", "Lua", 0, 57, 0, 1, 19, 77
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\apis\window.lua", "Lua", 0, 299, 0, 1, 69, 369
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\alias.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\bedit.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\bg.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\calc.lua", "Lua", 0, 5, 0, 2, 1, 8
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\cd.lua", "Lua", 0, 3, 0, 0, 2, 5
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\copy.lua", "Lua", 0, 6, 0, 0, 2, 8
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\delete.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\devbin.lua", "Lua", 0, 10, 0, 0, 2, 12
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\edit.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\fg.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\help.lua", "Lua", 0, 6, 0, 0, 2, 8
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\list.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\mkdir.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\move.lua", "Lua", 0, 6, 0, 0, 2, 8
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\paint.lua", "Lua", 0, 4, 0, 0, 3, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\pkg.lua", "Lua", 0, 4, 0, 0, 3, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\reboot.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\redstone.lua", "Lua", 0, 12, 0, 0, 2, 14
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\set.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\shutdown.lua", "Lua", 0, 5, 0, 0, 2, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\tree.lua", "Lua", 0, 5, 0, 1, 1, 7
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\completions\ver.lua", "Lua", 0, 4, 0, 1, 1, 6
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\editors\advanced.lua", "Lua", 0, 247, 0, 2, 60, 309
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\editors\basic.lua", "Lua", 0, 183, 0, 1, 46, 230
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\keymaps\lwjgl2.lua", "Lua", 0, 23, 0, 1, 2, 26
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\keymaps\lwjgl3.lua", "Lua", 0, 118, 0, 1, 2, 121
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\cc\audio\dfpwm.lua", "Lua", 0, 168, 0, 6, 55, 229
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\cc\completion.lua", "Lua", 0, 31, 0, 3, 12, 46
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\cc\expect.lua", "Lua", 0, 39, 0, 1, 11, 51
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\cc\http\gist.lua", "Lua", 0, 215, 0, 62, 17, 294
